Planet,Expedition,ExpeditionStart,ExpeditionTeam,TeamGruendung,TeamLeiter,TeamSpezialgebiet,Spezies,SpeziesEigenschaft,SpeziesNahrungsquelle,SpeziesTechnologiestufe,Allianz,AllianzGruendung,AllianzRessource,AllianzStrategie
Mars,Phoenix Discovery,2120,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Europa,Aurora Mission,2121,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glyzerianer,Flüssiger Kreislauf,Kohlenstoffverbindungen,Fortgeschritten,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Ganymede,Nebula Quest,2122,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Mars,Prometheus Search,2123,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Proxima b,Celestial Voyage,2124,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Callisto,Pioneer Mission,2123,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Europa,Horizon Exploration,2124,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glyzerianer,Flüssiger Kreislauf,Kohlenstoffverbindungen,Fortgeschritten,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Proxima b,Zenith Probe,2125,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Mars,Nebula Trek,2125,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Ganymede,Aurora Recon,2126,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Proxima b,Voyager Mission,2127,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Mars,Quantum Quest,2128,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Callisto,Borealis Expedition,2129,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Ganymede,Hyperion Journey,2130,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Mars,Andromeda Survey,2130,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Ganymede,Nimbus Search,2125,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Proxima b,Polaris Exploration,2126,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Europa,Horizon Trek,2127,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glyzerianer,Flüssiger Kreislauf,Kohlenstoffverbindungen,Fortgeschritten,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Mars,Phoenix Voyage,2127,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Callisto,Stellar Expedition,2128,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Europa,Andromeda Exploration,2129,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glyzerianer,Flüssiger Kreislauf,Kohlenstoffverbindungen,Fortgeschritten,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Mars,Comet Mission,2129,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Ganymede,Vortex Recon,2130,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Callisto,Celestial Trek,2120,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Proxima b,Sol Expedition,2122,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Mars,Eclipse Mission,2123,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Callisto,Hyperion Search,2125,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Europa,Aurora Mission,2121,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Aquafarer,Tiefseetauchen,Krill-ähnliche Kreaturen,Moderate,Plasmavanguard-Allianz,2128,Plasma-Kristalle,Felsen- und Unterwasserforts
Ganymede,Nebula Quest,2122,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Auroraviten,Leuchtende Haut,Energie aus Sternenlicht,Hoch,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Proxima b,Celestial Voyage,2124,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Lithovoren,Steinverdauung,Gestein und Mineralien,Niedrig,Plasmavanguard-Allianz,2128,Plasma-Kristalle,Felsen- und Unterwasserforts
Enceladus,Odyssey Survey,2123,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Europa,Horizon Exploration,2124,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Aquafarer,Tiefseetauchen,Krill-ähnliche Kreaturen,Moderate,Plasmavanguard-Allianz,2128,Plasma-Kristalle,Felsen- und Unterwasserforts
Proxima b,Zenith Probe,2125,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Lithovoren,Steinverdauung,Gestein und Mineralien,Niedrig,Plasmavanguard-Allianz,2128,Plasma-Kristalle,Felsen- und Unterwasserforts
Enceladus,Atlas Survey,2126,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Ganymede,Aurora Recon,2126,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Auroraviten,Leuchtende Haut,Energie aus Sternenlicht,Hoch,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Proxima b,Voyager Mission,2127,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Lithovoren,Steinverdauung,Gestein und Mineralien,Niedrig,Plasmavanguard-Allianz,2128,Plasma-Kristalle,Felsen- und Unterwasserforts
Enceladus,Eclipse Survey,2128,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Ganymede,Hyperion Journey,2130,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Auroraviten,Leuchtende Haut,Energie aus Sternenlicht,Hoch,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Enceladus,Aether Quest,2124,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Ganymede,Nimbus Search,2125,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Auroraviten,Leuchtende Haut,Energie aus Sternenlicht,Hoch,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Proxima b,Polaris Exploration,2126,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Lithovoren,Steinverdauung,Gestein und Mineralien,Niedrig,Plasmavanguard-Allianz,2128,Plasma-Kristalle,Felsen- und Unterwasserforts
Europa,Horizon Trek,2127,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Aquafarer,Tiefseetauchen,Krill-ähnliche Kreaturen,Moderate,Plasmavanguard-Allianz,2128,Plasma-Kristalle,Felsen- und Unterwasserforts
Europa,Andromeda Exploration,2129,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Aquafarer,Tiefseetauchen,Krill-ähnliche Kreaturen,Moderate,Plasmavanguard-Allianz,2128,Plasma-Kristalle,Felsen- und Unterwasserforts
Enceladus,Halo Survey,2130,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Ganymede,Vortex Recon,2130,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Auroraviten,Leuchtende Haut,Energie aus Sternenlicht,Hoch,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Proxima b,Sol Expedition,2122,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Lithovoren,Steinverdauung,Gestein und Mineralien,Niedrig,Plasmavanguard-Allianz,2128,Plasma-Kristalle,Felsen- und Unterwasserforts
Enceladus,Borealis Recon,2124,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Mars,Phoenix Discovery,2120,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Kristallwächter-Allianz,2125,Geothermische Kristalle,Schallschockwellen-Abwehrsysteme
Ganymede,Nebula Quest,2122,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Hydroströme-Allianz,2117,Wasserstoffisotope,Hydrodynamische Schilde
Mars,Prometheus Search,2123,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Kristallwächter-Allianz,2125,Geothermische Kristalle,Schallschockwellen-Abwehrsysteme
Proxima b,Celestial Voyage,2124,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Callisto,Pioneer Mission,2123,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Tiefwasser-Allianz,2122,Subglaziale Gase,Kaltstrahlen-Technologie
Proxima b,Zenith Probe,2125,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Mars,Nebula Trek,2125,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Kristallwächter-Allianz,2125,Geothermische Kristalle,Schallschockwellen-Abwehrsysteme
Ganymede,Aurora Recon,2126,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Hydroströme-Allianz,2117,Wasserstoffisotope,Hydrodynamische Schilde
Proxima b,Voyager Mission,2127,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Mars,Quantum Quest,2128,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Kristallwächter-Allianz,2125,Geothermische Kristalle,Schallschockwellen-Abwehrsysteme
Callisto,Borealis Expedition,2129,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Tiefwasser-Allianz,2122,Subglaziale Gase,Kaltstrahlen-Technologie
Ganymede,Hyperion Journey,2130,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Hydroströme-Allianz,2117,Wasserstoffisotope,Hydrodynamische Schilde
Mars,Andromeda Survey,2130,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Kristallwächter-Allianz,2125,Geothermische Kristalle,Schallschockwellen-Abwehrsysteme
Ganymede,Nimbus Search,2125,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Hydroströme-Allianz,2117,Wasserstoffisotope,Hydrodynamische Schilde
Proxima b,Polaris Exploration,2126,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Mars,Phoenix Voyage,2127,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Kristallwächter-Allianz,2125,Geothermische Kristalle,Schallschockwellen-Abwehrsysteme
Callisto,Stellar Expedition,2128,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Tiefwasser-Allianz,2122,Subglaziale Gase,Kaltstrahlen-Technologie
Mars,Comet Mission,2129,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Kristallwächter-Allianz,2125,Geothermische Kristalle,Schallschockwellen-Abwehrsysteme
Ganymede,Vortex Recon,2130,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Hydroströme-Allianz,2117,Wasserstoffisotope,Hydrodynamische Schilde
Callisto,Celestial Trek,2120,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Tiefwasser-Allianz,2122,Subglaziale Gase,Kaltstrahlen-Technologie
Proxima b,Sol Expedition,2122,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Mars,Eclipse Mission,2123,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Kristallwächter-Allianz,2125,Geothermische Kristalle,Schallschockwellen-Abwehrsysteme
Callisto,Hyperion Search,2125,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Tiefwasser-Allianz,2122,Subglaziale Gase,Kaltstrahlen-Technologie
